"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"529";"xylonate";"73686-31-7";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"35638";"6602431, 5460056, 6971043, 6971042";"C00502, C05411";"HMDB0059750, HMDB0242170, HMDB0060256, HMDB0242183";"48093, 17746, 48092, 28146";"GC/MS";"1722";"292";TRUE;"completely_incompatible_manual_with_cas"
"530";"xylose";"609-06-3";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15835";"135191";"C00181";"HMDB0000098, HMDB0003763, HMDB0060254";"53455";"GC/MS";"1723.9";"204";FALSE;NA
"531";"xylulose";"551-84-8";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"18344";"12358757, 5289590";"C00310";"HMDB0001644, HMDB0000654";"17140";"GC/MS";"1668";"306.10000000000002";FALSE;NA
"532";"2-hydroxypalmitate";"764-67-0";"Lipid";"Fatty acid, monohydroxy";"35675";"92836";NA;NA;"65101, 65097";"LC/MS Neg";"5508";"271.3";FALSE;NA
"533";"2-isopropylmalate";"3237-44-3";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"15667";"5280523";"C02504";"HMDB0000402";"35128, 1178";"LC/MS Neg";"732";"175.2";FALSE;NA
"534";"1-arachidonoylglycerophosphoinositol*";NA;"Lipid";"Lysolipid";"34214";NA;NA;NA;NA;"LC/MS Neg";"5479";"619.4";FALSE;NA
"535";"2-linoleoylglycerol (2-monolinolein)";"3443-82-1";"Lipid";"Monoacylglycerol";"32536";"5365676";NA;"HMDB0011538";"75457";"GC/MS";"2169";"408.3";FALSE;NA
"536";"2-linoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35257";NA;NA;NA;NA;"LC/MS Pos";"5544";"520.4";FALSE;NA
"537";"2-linoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"36593";NA;NA;NA;NA;"LC/MS Neg";"5650";"476.4";FALSE;NA
"538";"2-methoxyacetaminophen sulfate*";NA;"Xenobiotics";"Drug";"33178";NA;NA;NA;NA;"LC/MS Neg";"1977";"260.10000000000002";FALSE;NA
"539";"2-methylbutyroylcarnitine";"31023-25-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"35431";"6426901";NA;"HMDB0000378, HMDB0001963";"73026";"LC/MS Pos";"2439";"246.1";FALSE;NA
"540";"2-myristoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35681";NA;NA;NA;NA;"LC/MS Pos";"5450";"468.3";FALSE;NA
"541";"2-oleoylglycerol (2-monoolein)";"3443-84-3";"Lipid";"Monoacylglycerol";"35848";"5319879";NA;"HMDB0011537";"73990";"GC/MS";"2170";"410.1";FALSE;NA
"542";"2-oleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35254";NA;NA;NA;NA;"LC/MS Pos";"5640";"522.4";FALSE;NA
"543";"2-oleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35687";NA;NA;NA;NA;"LC/MS Neg";"5848";"478.3";FALSE;NA
"544";"2-oleoylglycerophosphoserine*";NA;"Lipid";"Lysolipid";"37948";NA;NA;NA;NA;"LC/MS Neg";"5577";"522.29999999999995";FALSE;NA
"545";"1-arachidonylglycerol";NA;"Lipid";"Monoacylglycerol";"34397";"53480981";"C13857";"HMDB0011572";NA;"GC/MS";"2226";"203.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"546";"2-palmitoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35819";NA;NA;NA;NA;"LC/MS Pos";"5482";"494.3";FALSE;NA
"547";"2-palmitoylglycerol (2-monopalmitin)";"23470-00-0";"Lipid";"Monoacylglycerol";"33419";"123409";NA;"HMDB0011533";"75455";"GC/MS";"2108";"129";FALSE;NA
"548";"2-palmitoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35253";NA;NA;NA;NA;"LC/MS Pos";"5604";"496.3";FALSE;NA
"549";"2-palmitoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35688";NA;NA;NA;NA;"LC/MS Neg";"5790";"452.3";FALSE;NA
"550";"2-phosphoglycerate";"70195-25-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"35629";"59, 40467846, 439278, 60038355";"C00631";"HMDB0000362, HMDB0062707, HMDB0003391, HMDB0304085";"24344, 58289, 17835, 88350";"GC/MS";"1734";"459.1";FALSE;NA
"551";"2-stearoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35255";"10208382";NA;NA;NA;"LC/MS Pos";"5780";"524.4";FALSE;NA
"552";"2-stearoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"41220";NA;NA;NA;NA;"LC/MS Pos";"5779.6";"482.2";FALSE;NA
"553";"3'-dephosphocoenzyme A";"3633-59-8";"Cofactors and vitamins";"Pantothenate and CoA metabolism";"18289";"444485";"C00882";"HMDB0001373";"15468";"LC/MS Neg";"2010";"686.2";FALSE;NA
"554";"3,4-dihydroxyphenethyleneglycol";"28822-73-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"1555";"91528";"C05576";"HMDB0000318, HMDB0005870";"1387";"GC/MS";"1807.7";"355.2";FALSE;NA
"555";"3-(4-hydroxyphenyl)lactate";"6482-98-0";"Amino acid";"Phenylalanine & tyrosine metabolism";"32197";"9378, 9548580";"C03672";"HMDB0000755";"17385, 36659";"LC/MS Neg";"1395";"181.1";FALSE;NA
"556";"1-docosahexaenoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"33822";NA;NA;NA;NA;"LC/MS Pos";"5518";"568.4";FALSE;NA
"557";"3-(N-acetyl-L-cystein-S-yl) acetaminophen*";"52372-86-8";"Xenobiotics";"Drug";"18299";"83967";NA;"HMDB0242140";"133435, 133438";"LC/MS Pos";"2622";"313.10000000000002";FALSE;NA
"558";"3-(cystein-S-yl)acetaminophen*";NA;"Xenobiotics";"Drug";"34365";"5233914";NA;"HMDB0242116";"133066, 133067";"LC/MS Pos";"1960";"271.2";FALSE;NA
"559";"3-aminoisobutyrate";"10569-72-9, 214139-20-5";"Nucleotide";"Pyrimidine metabolism, thymine containing, Valine, leucine and isoleucine metabolism/";"1566";"64956";"C05145";"HMDB0003911, HMDB0000485";"27389, 142590";"GC/MS";"1252.2";"101.9";FALSE;NA
"560";"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)";"86879-39-2";"Lipid";"Fatty acid, dicarboxylate";"31787";"123979";NA;"HMDB0061112, HMDB0062776";"41254";"LC/MS Neg";"2815";"239.1";FALSE;NA
"561";"3-dehydrocarnitine*";"10457-99-5";"Lipid";"Carnitine metabolism";"32654";"6991982";"C02636";"HMDB0012154";"57885";"LC/MS Pos";"1020";"160.19999999999999";FALSE;NA
"562";"3-hydroxybutyrate (BHBA)";"625-72-9";"Lipid";"Ketone bodies";"542";"92135, 6971058, 441, 3541112";"C01089";"HMDB0000011, HMDB0000357";"17066, 10983, 20067, 37054";"GC/MS";"1203.5";"116.9";FALSE;NA
"563";"3-hydroxydecanoate";"5561-87-5";"Lipid";"Fatty acid, monohydroxy";"22053";"5312798, 5312799, 26612";NA;"HMDB0002203, HMDB0010725";"37371, 171760, 132983";"LC/MS Neg";"4681";"187.2";FALSE;NA
"564";"3-hydroxyhippurate";NA;"Xenobiotics";"Benzoate metabolism";"39600";"450268";NA;"HMDB0006116";"70824";"LC/MS Neg";"1670";"194.1";FALSE;NA
"565";"3-hydroxyoctanoate";"88930-08-9";"Lipid";"Fatty acid, monohydroxy";"22001";"11367166, 26613";NA;"HMDB0001954";"37100, 37098";"LC/MS Neg";"3463";"159.19999999999999";FALSE;NA
"566";"3-indoxyl sulfate";"2642-37-7";"Amino acid";"Tryptophan metabolism";"27672";"10258";NA;"HMDB0000682, HMDB0003309";"43355, 144643";"LC/MS Neg";"2258";"212";FALSE;NA
"567";"1-heptadecanoylglycerophosphocholine";"50930-23-9";"Lipid";"Lysolipid";"33957";"24779456, 24779458, 460602, 24779461, 497299, 53480465, 52924045, 24779473, 52924051, 52924053, 24779476, 53480469, 11757087, 24779479, 53480471, 52924059, 52924039, 53480473, 53480475, 10415542, 24779481, 53480477, 24779513, 24779463, 24779527, 53480467";"C04230";"HMDB0010380, HMDB0010381, HMDB0010382, HMDB0010383, HMDB0010384, HMDB0010385, HMDB0010387, HMDB0010390, HMDB0010391, HMDB0010392, HMDB0010393, HMDB0010395, HMDB0010396, HMDB0010397, HMDB0010398, HMDB0010399, HMDB0010400, HMDB0010401, HMDB0010402, HMDB0010403, HMDB0010404, HMDB0010405, HMDB0010406, HMDB0010408, HMDB0012108, HMDB0013122, HMDB0062541, HMDB0094688, HMDB0258493";"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975";"LC/MS Pos";"5750";"510.4";FALSE;NA
"568";"3-methyl-2-oxovalerate";"51829-07-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"15676";"439286, 440877, 6857401";"C00671, C06008";"HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750";"15614, 28379, 35146";"LC/MS Neg";"2106";"129.19999999999999";FALSE;NA
"569";"3-methylhistidine";"368-16-1";"Amino acid";"Histidine metabolism";"15677";"92105, 64969";"C01152";"HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704";"50599, 27596";"LC/MS Neg";"911";"168.1";FALSE;NA
"570";"3-phosphoglycerate";"80731-10-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"40264";"724";"C00597";"HMDB0000807";"17050";"GC/MS";"1754";"357.1";FALSE;NA
"571";"3-ureidopropionate";"462-88-4";"Amino acid";"Alanine and aspartate metabolism";"3155";"111, 6971254";"C02642";"HMDB0000026, HMDB0062812";"18261, 11892";"LC/MS Pos";"1062";"133.1";FALSE;NA
"572";"4-acetamidophenol";"103-90-2";"Xenobiotics";"Drug";"12032";"1983";"C06804";"HMDB0001859";"46195";"LC/MS Pos";"2238";"152.1";FALSE;NA
"573";"4-acetaminophen sulfate";"10066-90-7, 32113-41-0";"Xenobiotics";"Drug";"37475";"1983, 83939";"C06804";"HMDB0001859, HMDB0059911";"32635, 46195";"LC/MS Neg";"1779";"230.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"574";"4-androsten-3beta,17beta-diol disulfate 1*";NA;"Lipid";"Sterol/Steroid";"37202";"10634";"C04295";"HMDB0003818";"2710";"LC/MS Neg";"3735";"224.3";FALSE;NA
"575";"4-guanidinobutanoate";"463-003, 463-00-3";"Amino acid";"Guanidino and acetamido metabolism";"15681";"500";"C01035";"HMDB0003464, HMDB0005991";"15728, 57486";"LC/MS Pos";"1085";"146.1";FALSE;NA
"576";"4-hydroxybutyrate (GHB)";"502-85-2";"Lipid";"Fatty acid, monohydroxy";"34585";"10413, 3037032";"C01991, C00989";"HMDB0000710, HMDB0015507";"30830, 16724";"GC/MS";"1277";"233.1";FALSE;NA
"577";"4-hydroxyglutamate";"2485-33-8";"Amino acid";"Glutamate metabolism";"40499";"440854, 6971086, 5460078, 5460800";"C03079, C05947";"HMDB0002273, HMDB0001344, HMDB0062752";"16338, 32812, 21285, 6331";"GC/MS";"1644.2";"244.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
