"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"148";"Diabetic cardiomyopathy";NA;NA;NA;NA;NA;NA;NA;NA;32;"C00002, C00005, C00006, C00022, C00024, C00031, C00043, C00051, C00085, C00092, C00095, C00118, C00127, C00165, C00195, C00236, C00318, C00352, C00369, C00546, C00794, C00873, C02135, C02843, C05981, C06156, C21011, C21012, C21013, C21014, C22310, C22311";7;"C00031, C00051, C00092, C00095, C00127, C00318, C00794";21,88;NA;0;0
"149";"Dilated cardiomyopathy";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00575";0;NA;0;NA;0;0
"150";"Dioxin degradation";NA;NA;NA;NA;NA;NA;NA;NA;65;"C00022, C00024, C00084, C00090, C00108, C00180, C00596, C00805, C01273, C02370, C02501, C02526, C03077, C03453, C03569, C03589, C04596, C04623, C06584, C06585, C06586, C06587, C06588, C06589, C06644, C06645, C06646, C07557, C07729, C07731, C07732, C07733, C07734, C08060, C08061, C08062, C11057, C11353, C14573, C18099, C18100, C18101, C18102, C18103, C18104, C18105, C18106, C18107, C18108, C18109, C18110, C18111, C18112, C18113, C18114, C18115, C18116, C18117, C18118, C18119, C18120, C18121, C18122, C18123, C18180";2;"C00180, C00805";3,08;NA;0;0
"151";"Diterpenoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;119;"C00079, C00353, C00859, C01414, C01699, C02034, C02035, C03579, C06086, C06087, C06088, C06089, C06090, C06091, C06092, C06093, C06094, C06095, C06096, C07394, C07601, C09092, C09094, C09118, C09163, C09183, C09189, C11700, C11853, C11854, C11855, C11857, C11858, C11859, C11860, C11861, C11862, C11863, C11864, C11865, C11866, C11867, C11868, C11869, C11870, C11871, C11872, C11873, C11874, C11875, C11876, C11877, C11878, C11879, C11880, C11881, C11882, C11883, C11884, C11885, C11886, C11887, C11888, C11889, C11890, C11893, C11894, C11895, C11896, C11898, C11900, C11901, C11902, C11905, C12077, C13273, C16523, C16524, C16833, C18015, C18016, C18211, C18219, C18220, C18221, C18222, C18223, C18224, C18225, C18226, C18228, C18229, C19817, C20145, C20146, C20149, C20150, C20151, C20158, C20185, C20208, C20270, C20481, C20487, C20681, C20700, C20711, C21425, C21560, C21561, C21562, C21656, C21709, C21714, C21735, C23033, C23034, C23070, C23071";1;"C00079";0,84;NA;0;0
"152";"Dopaminergic synapse";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00082, C00165, C00355, C00575, C01161, C01245, C03758, C05582, C05587";1;"C00082";11,11;NA;0;0
"153";"Drug metabolism - cytochrome P450";NA;NA;NA;NA;NA;NA;NA;NA;87;"C01471, C01516, C05011, C06174, C06754, C06868, C07047, C07073, C07108, C07163, C07185, C07492, C07493, C07495, C07496, C07501, C07572, C07643, C07644, C07645, C07646, C07647, C07888, C08012, C11004, C11583, C11785, C16544, C16545, C16546, C16547, C16548, C16549, C16550, C16551, C16552, C16553, C16554, C16555, C16556, C16557, C16558, C16559, C16560, C16561, C16569, C16570, C16571, C16572, C16576, C16577, C16578, C16582, C16584, C16586, C16587, C16591, C16592, C16595, C16596, C16601, C16602, C16603, C16604, C16605, C16606, C16607, C16608, C16609, C16610, C16612, C16643, C16648, C16649, C16650, C16651, C16652, C16653, C16654, C16655, C16656, C16657, C16658, C16659, C16660, C16661, C16662";3;"C06174, C07073, C07572";3,45;NA;0;0
"154";"Drug metabolism - other enzymes";NA;NA;NA;NA;NA;NA;NA;NA;52;"C00003, C00006, C02320, C02380, C04242, C04646, C05361, C06108, C06837, C07054, C07446, C07447, C07585, C07648, C07649, C11173, C11376, C11736, C12650, C12673, C12739, C13252, C16542, C16543, C16613, C16614, C16615, C16616, C16617, C16618, C16619, C16620, C16621, C16622, C16623, C16624, C16625, C16630, C16631, C16632, C16633, C16634, C16635, C16641, C21748, C21749, C21750, C21751, C21754, C21758, C21759, C21760";1;"C00003";1,92;NA;0;0
"155";"Efferocytosis";"1/37";"10/259";0,1;0,7;-0,394235572655472;0,792215756597582;0,86572031133344;0,730747035385724;20;"C00002, C00003, C00019, C00031, C00062, C00073, C00075, C00077, C00134, C00186, C00187, C00584, C02530, C02737, C04230, C06124, C06314, C15519, C15610, C18178";10;"C00003, C00031, C00062, C00073, C00077, C00134, C00186, C00187, C00584, C04230";50;"C00073";1;5
"156";"EGFR tyrosine kinase inhibitor resistance";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00165, C05981";0;NA;0;NA;0;0
"157";"Eicosanoids";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00219, C00427, C00909, C02165, C02198, C05356, C05956";1;"C00219";14,29;NA;0;0
"158";"Endocrine and other factor-regulated calcium reabsorption";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00165, C00575, C00951, C01245, C01673";0;NA;0;NA;0;0
"159";"Endocrine resistance";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00280, C00535, C00575, C00951, C16547";1;"C00535";20;NA;0;0
"160";"Endocytosis";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00035, C00044, C04549, C04637, C05981, C11556";0;NA;0;NA;0;0
"161";"Endometrial cancer";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
"162";"Epithelial cell signaling in Helicobacter pylori infection";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00086";1;"C00086";100;NA;0;0
"163";"Epstein-Barr virus infection";NA;NA;NA;NA;NA;NA;NA;NA;2;"C01245, C05981";0;NA;0;NA;0;0
"164";"ErbB signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C01245, C05981";0;NA;0;NA;0;0
"165";"Estrogen signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00165, C00334, C00575, C00951, C01245";1;"C00334";20;NA;0;0
"166";"Ether lipid metabolism";NA;NA;NA;NA;NA;NA;NA;NA;25;"C00670, C00958, C01233, C01264, C02773, C03201, C03372, C03454, C03715, C03820, C03968, C04317, C04361, C04475, C04517, C04598, C04635, C04756, C05212, C05977, C15645, C15646, C15647, C20825, C20859";2;"C00670, C01233";8;NA;0;0
"167";"Ethylbenzene degradation";NA;NA;NA;NA;NA;NA;NA;NA;14;"C00024, C00163, C00512, C00596, C06727, C06728, C07083, C07111, C07113, C07114, C07118, C07123, C07189, C11348";0;NA;0;NA;0;0
"168";"Fat digestion and absorption";NA;NA;NA;NA;NA;NA;NA;NA;12;"C00010, C00040, C00165, C00187, C00416, C00422, C00681, C00865, C01558, C01885, C02112, C02530";1;"C00187";8,33;NA;0;0
"169";"Fatty acid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;58;"C00024, C00083, C00154, C00173, C00229, C00249, C00383, C00638, C00685, C00693, C00712, C01203, C01209, C01271, C01530, C01571, C02679, C02843, C03939, C04088, C04180, C04246, C04618, C04619, C04620, C04633, C04688, C05223, C05744, C05745, C05746, C05747, C05748, C05749, C05750, C05751, C05752, C05753, C05754, C05755, C05756, C05757, C05758, C05759, C05760, C05761, C05762, C05763, C05764, C06423, C06424, C08362, C16219, C16220, C16221, C16520, C20683, C20794";8;"C00249, C00712, C01530, C01571, C02679, C06423, C06424, C08362";13,79;NA;0;0
"170";"Fatty acid degradation";NA;NA;NA;NA;NA;NA;NA;NA;49;"C00010, C00024, C00071, C00136, C00154, C00226, C00229, C00249, C00332, C00340, C00435, C00489, C00517, C00527, C00638, C00823, C00877, C01144, C01371, C01832, C01944, C02593, C02990, C03221, C03547, C03561, C05102, C05258, C05259, C05260, C05261, C05262, C05263, C05264, C05265, C05266, C05267, C05268, C05269, C05270, C05271, C05272, C05273, C05274, C05275, C05276, C05279, C05280, C20683";3;"C00249, C00489, C03547";6,12;NA;0;0
"171";"Fatty acid elongation";NA;NA;NA;NA;NA;NA;NA;NA;39;"C00024, C00040, C00083, C00136, C00154, C00249, C00264, C00605, C00638, C00640, C00658, C01832, C01944, C02593, C02843, C03221, C05258, C05259, C05260, C05261, C05262, C05263, C05264, C05265, C05266, C05267, C05268, C05269, C05270, C05271, C05272, C05273, C05274, C05275, C05276, C20876, C20877, C20878, C20879";1;"C00249";2,56;NA;0;0
"172";"Fatty acid metabolism";NA;NA;NA;NA;NA;NA;NA;NA;122;"C00024, C00083, C00136, C00154, C00229, C00249, C00332, C00383, C00412, C00510, C00877, C01144, C01203, C01209, C01832, C01944, C02041, C02050, C02249, C02593, C02990, C03035, C03221, C03595, C03939, C04088, C04246, C04618, C04619, C04620, C04633, C04688, C05223, C05258, C05259, C05260, C05261, C05262, C05263, C05264, C05265, C05266, C05267, C05268, C05269, C05270, C05271, C05272, C05273, C05274, C05275, C05276, C05744, C05745, C05746, C05747, C05748, C05749, C05750, C05751, C05752, C05753, C05754, C05755, C05756, C05757, C05758, C05759, C05760, C05761, C05762, C05763, C05764, C16160, C16161, C16162, C16163, C16164, C16165, C16166, C16167, C16168, C16169, C16170, C16171, C16172, C16173, C16179, C16180, C16216, C16217, C16218, C16219, C16220, C16221, C16374, C16375, C16376, C16387, C16388, C16389, C16528, C16529, C16530, C16531, C16532, C16645, C17279, C21932, C21934, C21935, C21937, C21939, C21941, C21949, C21951, C21953, C21959, C21961, C21963, C21965, C21967";1;"C00249";0,82;NA;0;0
"173";"Fc epsilon RI signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00165, C00219, C00374, C00388, C00696, C01245, C02166, C05951, C05952, C05981";2;"C00219, C00388";20;NA;0;0
"174";"Fc gamma R-mediated phagocytosis";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00165, C00219, C00416, C01245, C04637, C05981, C06124";1;"C00219";14,29;NA;0;0
"175";"Ferroptosis";"1/37";"10/259";0,1;0,7;-0,394235572655472;0,792215756597582;0,86572031133344;0,730747035385724;26;"C00010, C00024, C00025, C00032, C00051, C00097, C00127, C00129, C00219, C00356, C00418, C00491, C00669, C02249, C02477, C11378, C14819, C16170, C16527, C21478, C21479, C21480, C21481, C21482, C21483, C21484";10;"C00025, C00032, C00051, C00097, C00127, C00219, C00491, C00669, C02477, C16527";38,46;"C00219";1;3,85
"176";"Flavone and flavonol biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;49;"C00389, C00616, C01155, C01156, C01265, C01460, C01470, C01477, C01514, C01714, C01750, C03515, C03897, C03898, C03951, C04024, C04199, C04293, C04443, C04444, C04608, C04858, C04900, C05622, C05623, C05625, C05903, C10098, C10107, C10175, C11620, C12249, C12626, C12627, C12628, C12629, C12630, C12632, C12633, C12634, C12635, C12636, C12637, C12638, C12667, C12668, C16490, C16911, C19796";0;NA;0;NA;0;0
"177";"Flavonoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;73;"C00223, C00323, C00389, C00406, C00509, C00540, C00774, C00852, C00974, C01378, C01460, C01477, C01514, C01604, C01617, C01709, C02906, C02947, C03648, C05334, C05631, C05903, C05904, C05905, C05906, C05907, C05908, C05909, C05911, C06561, C06562, C08578, C08650, C09099, C09320, C09614, C09727, C09736, C09751, C09756, C09762, C09789, C09806, C09826, C09827, C09833, C10028, C10044, C10107, C10192, C10434, C12123, C12124, C12127, C12128, C12136, C12208, C15525, C16404, C16405, C16406, C16407, C16408, C16409, C16410, C16415, C16416, C16417, C16418, C16419, C16422, C16492, C22048";0;NA;0;NA;0;0
"178";"Fluid shear stress and atherosclerosis";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00272, C00518, C00607, C00925, C16845";0;NA;0;NA;0;0
"179";"Fluorobenzoate degradation";NA;NA;NA;NA;NA;NA;NA;NA;32;"C00090, C02222, C02357, C02359, C02364, C02370, C02371, C02802, C02949, C03925, C04178, C06387, C06670, C06671, C11272, C16246, C16247, C16248, C16249, C16472, C16473, C16474, C16475, C16476, C16477, C16478, C16479, C16480, C16481, C16482, C16483, C16484";0;NA;0;NA;0;0
"180";"Focal adhesion";NA;NA;NA;NA;NA;NA;NA;NA;2;"C04637, C05981";0;NA;0;NA;0;0
"181";"Folate biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;58;"C00044, C00101, C00119, C00156, C00251, C00266, C00268, C00272, C00415, C00504, C00568, C00835, C00921, C01217, C01300, C01304, C02587, C02953, C03541, C03684, C04244, C04807, C04874, C04895, C05922, C05923, C05924, C05925, C05926, C05927, C06148, C06313, C09332, C11355, C15522, C15996, C16675, C18237, C18239, C18802, C19848, C19871, C20239, C20248, C20264, C20559, C20562, C20566, C20567, C21007, C21008, C21065, C21094, C21107, C21310, C21485, C21486, C21640";0;NA;0;NA;0;0
"182";"Folate transport and metabolism";"2/37";"6/259";0,333333333333333;2,33333333333333;1,34644410428179;0,205549940497269;0,4895492346884;0,413224279528441;19;"C00019, C00021, C00073, C00101, C00114, C00143, C00155, C00157, C00364, C00365, C00415, C00440, C00445, C00504, C00719, C01026, C01937, C01996, C03479";6;"C00021, C00073, C00155, C00440, C00719, C01026";31,58;"C00073/C00440";2;10,53
"183";"FoxO signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00008, C00020, C00025, C00031, C05981";3;"C00020, C00025, C00031";60;NA;0;0
"184";"Fructose and mannose metabolism";"1/37";"10/259";0,1;0,7;-0,394235572655472;0,792215756597582;0,86572031133344;0,730747035385724;55;"C00085, C00095, C00096, C00111, C00118, C00159, C00186, C00247, C00267, C00275, C00325, C00354, C00392, C00424, C00464, C00507, C00577, C00636, C00644, C00665, C00794, C00861, C00976, C01019, C01094, C01096, C01099, C01131, C01222, C01355, C01487, C01720, C01721, C01768, C01934, C02431, C02492, C02888, C02962, C02977, C02985, C02991, C03117, C03267, C03827, C03979, C05144, C05392, C06192, C11516, C11544, C18028, C18096, C20781, C20836";10;"C00095, C00159, C00186, C00275, C00392, C00464, C00794, C01019, C01094, C01096";18,18;"C00464";1;1,82
"185";"Furfural degradation";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00026, C00845, C01546, C03724, C11101, C14279, C20441, C20443, C20447, C20450";0;NA;0;NA;0;0
"186";"GABA-A receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;3;"C07521, C09364, C09529";0;NA;0;NA;0;0
"187";"GABAergic synapse";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00025, C00026, C00042, C00064, C00334, C00575";4;"C00025, C00042, C00064, C00334";66,67;NA;0;0
"188";"Galactose metabolism";"1/37";"8/259";0,125;0,875;-0,146336402270529;0,713955919584447;0,822601385608167;0,694350722707986;46;"C00029, C00031, C00052, C00085, C00089, C00095, C00103, C00111, C00116, C00118, C00124, C00137, C00159, C00243, C00267, C00446, C00492, C00577, C00668, C00794, C00795, C00880, C00984, C01097, C01113, C01132, C01216, C01235, C01286, C01613, C01697, C02262, C02669, C03383, C03733, C03785, C05396, C05399, C05400, C05401, C05402, C05404, C05796, C06311, C06376, C06377";8;"C00031, C00095, C00103, C00116, C00137, C00159, C00668, C00794";17,39;"C00137";1;2,17
"189";"Gap junction";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00025, C00165, C00547, C00575, C00681, C00780, C00942, C01245, C03758";1;"C00025";11,11;NA;0;0
"190";"Gastric acid secretion";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00165, C00388, C00575, C01245, C01353, C01996";1;"C00388";16,67;NA;0;0
"191";"Gastric cancer";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00039, C00777, C05981, C15493";0;NA;0;NA;0;0
"192";"Glioma";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00165, C01245, C05981";0;NA;0;NA;0;0
"193";"Glucagon signaling pathway";"1/37";"10/259";0,1;0,7;-0,394235572655472;0,792215756597582;0,86572031133344;0,730747035385724;25;"C00022, C00024, C00026, C00031, C00036, C00040, C00042, C00074, C00083, C00085, C00103, C00122, C00149, C00158, C00182, C00186, C00197, C00311, C00354, C00575, C00631, C00665, C00668, C01172, C01245";10;"C00031, C00042, C00074, C00103, C00122, C00149, C00158, C00186, C00631, C00668";40;"C00158";1;4
"194";"Glucocorticoid and mineralocorticoid receptor agonists/antagonists";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00410, C00735, C00762, C01780";2;"C00735, C00762";50;NA;0;0
"195";"Glucosinolate biosynthesis";"6/37";"9/259";0,666666666666667;4,66666666666667;4,5620170977321;0,000353848416823737;0,0157151306322189;0,0132650059954181;77;"C00073, C00078, C00079, C00082, C00123, C00141, C00183, C00233, C00407, C00671, C01069, C01180, C02153, C02937, C03219, C03719, C04350, C05837, C08401, C08407, C08409, C08412, C08417, C08418, C08426, C16516, C16517, C16518, C17210, C17211, C17212, C17213, C17214, C17215, C17216, C17217, C17218, C17219, C17220, C17221, C17222, C17223, C17224, C17225, C17226, C17227, C17228, C17229, C17230, C17231, C17232, C17233, C17235, C17236, C17237, C17238, C17239, C17240, C17241, C17242, C17243, C17244, C17245, C17246, C17248, C17249, C17250, C17251, C17252, C17253, C17254, C17255, C17256, C19491, C19714, C21650, C21746";9;"C00073, C00078, C00079, C00082, C00123, C00183, C00233, C00407, C00671";11,69;"C00073/C00079/C00082/C00123/C00183/C00407";6;7,79
"196";"Glutamatergic synapse";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00025, C00064, C00165, C00575, C01245";2;"C00025, C00064";40;NA;0;0
"197";"Glutathione metabolism";NA;NA;NA;NA;NA;NA;NA;NA;37;"C00005, C00006, C00024, C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00151, C00315, C00669, C00750, C01419, C01672, C01879, C02090, C02320, C03170, C03646, C03740, C05422, C05726, C05727, C05729, C05730, C16562, C16563, C16564, C16565, C16566, C16567, C16568, C16663, C16664";13;"C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00315, C00669, C00750, C01419, C01879";35,14;NA;0;0
"198";"Glycerolipid metabolism";NA;NA;NA;NA;NA;NA;NA;NA;37;"C00029, C00040, C00093, C00103, C00111, C00116, C00173, C00184, C00197, C00258, C00416, C00422, C00577, C00631, C00641, C00681, C00969, C01885, C02133, C02457, C03692, C04046, C04315, C04872, C05401, C06037, C06038, C06040, C06041, C06042, C06364, C06365, C11521, C13508, C20897, C20898, C20991";6;"C00093, C00103, C00116, C00184, C00258, C00631";16,22;NA;0;0
"199";"Glycerophospholipid metabolism";"1/37";"7/259";0,142857142857143;1;0;0,664729729001305;0,791700576113914;0,668267616382152;56;"C00040, C00065, C00084, C00093, C00111, C00114, C00157, C00189, C00269, C00307, C00344, C00346, C00350, C00416, C00513, C00570, C00588, C00623, C00641, C00670, C00681, C01194, C01210, C01233, C01241, C01996, C02737, C03372, C03819, C03872, C03892, C03974, C04230, C04233, C04308, C04438, C04590, C04638, C05973, C05974, C05976, C05980, C06771, C06772, C13482, C18059, C18125, C18126, C18129, C18168, C18169, C20466, C20518, C22340, C22341, C22342";7;"C00065, C00093, C00189, C00346, C00670, C01233, C04230";12,5;"C00065";1;1,79
"200";"Glycine, serine and threonine metabolism";"2/37";"16/259";0,125;0,875;-0,210329938733343;0,697749085455734;0,821793367314532;0,693668681447221;46;"C00022, C00037, C00048, C00049, C00065, C00078, C00097, C00101, C00109, C00114, C00143, C00168, C00188, C00197, C00213, C00258, C00263, C00300, C00430, C00441, C00546, C00576, C00581, C00631, C00719, C00740, C00986, C01005, C01026, C01102, C01242, C01888, C02051, C02291, C02737, C02972, C03082, C03194, C03232, C03283, C03508, C05519, C06231, C06442, C16432, C19929";16;"C00037, C00049, C00065, C00078, C00097, C00168, C00188, C00213, C00258, C00263, C00300, C00581, C00631, C00719, C01026, C05519";34,78;"C00065/C00188";2;4,35
"201";"Glycolysis / Gluconeogenesis";NA;NA;NA;NA;NA;NA;NA;NA;31;"C00022, C00024, C00031, C00033, C00036, C00068, C00074, C00084, C00085, C00103, C00111, C00118, C00186, C00197, C00221, C00236, C00267, C00354, C00469, C00631, C00668, C01159, C01172, C01451, C05125, C06186, C06187, C06188, C15972, C15973, C16255";6;"C00031, C00074, C00103, C00186, C00631, C00668";19,35;NA;0;0
"202";"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00053, C00054, C00401, C01490, C02189";0;NA;0;NA;0;0
"203";"Glycosaminoglycan biosynthesis - heparan sulfate / heparin";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00033, C00053, C00054, C02189";0;NA;0;NA;0;0
"204";"Glycosaminoglycan degradation";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00426, C00573, C00634, C00925";0;NA;0;NA;0;0
"205";"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;16;"C00154, C00249, C00346, C00350, C00412, C01194, C21932, C22963, C22964, C22965, C22966, C22967, C22968, C22970, C22971, C22972";2;"C00249, C00346";12,5;NA;0;0
"206";"Glyoxylate and dicarboxylate metabolism";"3/37";"14/259";0,214285714285714;1,5;0,783763812819726;0,321560180710074;0,615272777512055;0,519346435834406;63;"C00022, C00024, C00025, C00026, C00033, C00036, C00037, C00042, C00048, C00049, C00058, C00064, C00065, C00091, C00100, C00111, C00136, C00149, C00158, C00160, C00168, C00197, C00209, C00258, C00266, C00311, C00313, C00332, C00417, C00552, C00631, C00683, C00798, C00877, C00888, C00898, C00975, C00988, C01127, C01146, C01182, C01213, C01380, C01732, C01989, C01990, C02123, C02405, C03217, C03459, C03548, C03561, C03618, C04348, C05840, C06027, C06028, C06049, C18026, C18324, C19838, C20238, C22337";14;"C00025, C00037, C00042, C00049, C00064, C00065, C00149, C00158, C00160, C00168, C00258, C00417, C00631, C00898";22,22;"C00065/C00158/C00417";3;4,76
