"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"312";"C08283";"KEGG";FALSE;"homostachydrine*";FALSE;NA
"313";"C08316";"KEGG";FALSE;"erucate (22:1n9)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"314";"C08322";"KEGG";FALSE;"myristoleate (14:1n5)";FALSE;NA
"315";"C08323";"KEGG";FALSE;"nervonate (24:1n9)";FALSE;NA
"316";"C08362";"KEGG";FALSE;"palmitoleate (16:1n7)";FALSE;NA
"317";"C08367";"KEGG";FALSE;"cis-vaccenate (18:1n7)";FALSE;NA
"318";"C09213";"KEGG";FALSE;"tryptophan betaine";FALSE;NA
"319";"C10172";"KEGG";FALSE;"stachydrine";FALSE;NA
"320";"C11301";"KEGG";FALSE;"glycolithocholate sulfate*";FALSE;NA
"321";"C11332";"KEGG";FALSE;"leucylleucine";FALSE;NA
"322";"C12144";"KEGG";FALSE;"phytosphingosine";FALSE;NA
"323";"C12270";"KEGG";FALSE;"N-acetyl-aspartyl-glutamate (NAAG)";FALSE;NA
